word	token	X	Y
neutral	1	523	548
neutral	1	530	540
neutral	1	537	531
neutral	1	540	520
neutral	1	544	507
neutral	1	547	492
neutral	1	551	477
neutral	1	557	465
neutral	1	563	448
neutral	1	571	437
neutral	1	582	426
neutral	1	591	414
neutral	1	604	408
neutral	1	616	402
neutral	1	629	397
neutral	1	642	396
neutral	1	656	395
neutral	1	669	396
neutral	1	683	398
neutral	1	695	402
neutral	1	709	408
neutral	1	720	417
neutral	1	732	424
neutral	1	743	432
neutral	1	752	446
neutral	1	760	457
neutral	1	771	463
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
neutral	2	520	540
neutral	2	526	532
neutral	2	532	523
neutral	2	538	513
neutral	2	541	499
neutral	2	543	483
neutral	2	549	470
neutral	2	554	454
neutral	2	563	444
neutral	2	572	434
neutral	2	581	424
neutral	2	592	413
neutral	2	603	407
neutral	2	615	396
neutral	2	627	390
neutral	2	640	389
neutral	2	654	388
neutral	2	668	388
neutral	2	682	393
neutral	2	694	399
neutral	2	707	401
neutral	2	720	407
neutral	2	730	420
neutral	2	741	427
neutral	2	751	435
neutral	2	758	452
neutral	2	766	463
neutral	2	775	472
neutral	2	775	472
neutral	2	775	472
neutral	2	775	472
neutral	2	775	472
neutral	3	518	541
neutral	3	526	534
neutral	3	531	524
neutral	3	537	513
neutral	3	542	503
neutral	3	547	491
neutral	3	549	472
neutral	3	553	454
neutral	3	562	445
neutral	3	570	432
neutral	3	580	423
neutral	3	592	415
neutral	3	602	403
neutral	3	613	394
neutral	3	627	392
neutral	3	640	389
neutral	3	654	385
neutral	3	668	384
neutral	3	681	386
neutral	3	695	390
neutral	3	708	400
neutral	3	719	406
neutral	3	731	415
neutral	3	743	425
neutral	3	752	435
neutral	3	762	444
neutral	3	771	456
neutral	3	779	464
neutral	3	779	464
neutral	3	779	464
neutral	3	779	464
neutral	3	779	464
neutral	4	513	540
neutral	4	521	532
neutral	4	529	525
neutral	4	534	514
neutral	4	538	502
neutral	4	540	485
neutral	4	544	470
neutral	4	550	455
neutral	4	557	443
neutral	4	566	429
neutral	4	575	419
neutral	4	585	408
neutral	4	598	401
neutral	4	611	397
neutral	4	623	391
neutral	4	636	388
neutral	4	650	386
neutral	4	664	386
neutral	4	677	387
neutral	4	691	393
neutral	4	704	398
neutral	4	715	405
neutral	4	728	413
neutral	4	739	421
neutral	4	749	432
neutral	4	759	441
neutral	4	768	451
neutral	4	768	451
neutral	4	768	451
neutral	4	768	451
neutral	4	768	451
neutral	4	768	451
neutral	5	516	541
neutral	5	522	533
neutral	5	528	524
neutral	5	534	514
neutral	5	539	503
neutral	5	544	491
neutral	5	547	475
neutral	5	552	460
neutral	5	559	445
neutral	5	567	434
neutral	5	575	418
neutral	5	587	412
neutral	5	598	402
neutral	5	610	394
neutral	5	623	389
neutral	5	636	386
neutral	5	650	385
neutral	5	664	384
neutral	5	677	384
neutral	5	691	392
neutral	5	704	399
neutral	5	716	408
neutral	5	727	417
neutral	5	739	424
neutral	5	748	433
neutral	5	758	445
neutral	5	768	453
neutral	5	776	462
