word	token	X	Y
neutral	1	523	548
neutral	1	530	540
neutral	1	537	531
neutral	1	540	520
neutral	1	544	507
neutral	1	547	492
neutral	1	551	477
neutral	1	557	465
neutral	1	563	448
neutral	1	571	437
neutral	1	582	426
neutral	1	591	414
neutral	1	604	408
neutral	1	616	402
neutral	1	629	397
neutral	1	642	396
neutral	1	656	395
neutral	1	669	396
neutral	1	683	398
neutral	1	695	402
neutral	1	709	408
neutral	1	720	417
neutral	1	732	424
neutral	1	743	432
neutral	1	752	446
neutral	1	760	457
neutral	1	771	463
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
neutral	1	523	548
neutral	1	530	540
neutral	1	537	531
neutral	1	540	520
neutral	1	544	507
neutral	1	547	492
neutral	1	551	477
neutral	1	557	465
neutral	1	563	448
neutral	1	571	437
neutral	1	582	426
neutral	1	591	414
neutral	1	604	408
neutral	1	616	402
neutral	1	629	397
neutral	1	642	396
neutral	1	656	395
neutral	1	669	396
neutral	1	683	398
neutral	1	695	402
neutral	1	709	408
neutral	1	720	417
neutral	1	732	424
neutral	1	743	432
neutral	1	752	446
neutral	1	760	457
neutral	1	771	463
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
neutral	1	779	472
